Disease,Symptoms
gastroesophageal   reflux disease,"hunger, asthenia, hepatosplenomegaly, sweating increased, unresponsiveness, palpitation"
chronic   alcoholic intoxication,"dysarthria, verbally abusive behavior, breath sounds decreased, photopsia, panic"
delirium,"shooting pain, fever, hallucinations auditory, photopsia, diarrhea"
kidney   failure acute,"diarrhea, flushing, unresponsiveness, haemorrhage, breech presentation"
overload   fluid,"distended abdomen, hypokalemia, hypotension, pain abdominal, Murphy's sign, swelling"
hiv infections,"decreased body weight, abnormal sensation, clonus, productive cough, heartburn, monoclonal, hallucinations visual"
hemorrhoids,"dizziness, primigravida, dyspnea, urgency of micturition, numbness of hand, achalasia"
suicide   attempt,"hirsutism, formication, pain, paresis, fatigue, myoclonus"
parkinson   disease,"milky, mediastinal shift, lesion, hematuria, anorexia, mass of body structure, transsexual, sleepy"
diabetes,"fall, pain, vomiting, vertigo, hallucinations auditory, labored breathing, incoherent"
dehydration,"dizziness, history of - blackout, milky, sensory discomfort, titubation, lethargy"
chronic   alcoholic intoxication,"shortness of breath, panic, incoherent, sputum purulent, breath sounds decreased, sleeplessness"
hypertension   pulmonary,"cyanosis, hypertonicity, left atrial hypertrophy, hypotension, neck stiffness"
pneumonia   aspiration,"hemiplegia, diarrhea, pain abdominal, pruritus, gurgle"
infection   urinary tract,"consciousness clear, mental status changes, hematocrit decreased, difficulty passing urine, distress respiratory, hepatomegaly, hemiplegia"
parkinson   disease,"productive cough, rigor - temperature-associated observation, hematuria, clammy skin, night sweat, green sputum"
dependence,"Murphy's sign, stuffy nose, muscle twitch, air fluid level, productive cough, myoclonus, shooting pain, rale, heavy legs, anosmia"
parkinson   disease,"hematuria, non-productive cough, hypesthesia, superimposition, night sweat, t wave inverted, cough"
pyelonephritis,"bruit, hallucinations visual, catching breath, chill, fever, seizure, rambling speech, myalgia"
ketoacidosis   diabetic,"weight gain, diarrhea, breath-holding spell, choke, colic abdominal, seizure, aura, urinary hesitation"
incontinence,"unresponsiveness, natural, fall, stiffness, history of - blackout"
bipolar   disorder,"mydriasis, claudication, intoxication, loose associations, general discomfort, behavior showing increased motor activity, bleeding of vagina, pleuritic pain, stinging sensation"
melanoma,"vomiting, diarrhea, difficulty, pain, mass of body structure, hot flush, polyuria"
pericardial effusion body substance,"oliguria, hepatosplenomegaly, disturbed family, blackout, posterior rhinorrhea, intoxication, ecchymosis, pain"
failure   heart congestive,"cicatrisation, dyspnea, cough, no known drug allergies, non-productive cough"
bronchitis,"dyspnea, ascites, mass in breast, asterixis, floppy"
hyperglycemia,"mediastinal shift, estrogen use, tinnitus, seizure, decreased translucency, wheezing"
adhesion,"breath-holding spell, inappropriate affect, feeling suicidal, unsteady gait, fear of falling, immobile"
adhesion,"lip smacking, feeling suicidal, hallucinations visual, immobile, general discomfort, unsteady gait"
biliary   calculus,"withdraw, emphysematous change, hyponatremia, apyrexial, diarrhea, sore to touch, oliguria, palpitation"
lymphatic   diseases,"stupor, egophony, non-productive cough, fatigue, throbbing sensation quality, fremitus"
obesity   morbid,"tumor cell invasion, cardiovascular event, feels hot/feverish, hematocrit decreased, neologism, renal angle tenderness"
embolism   pulmonary,"urge incontinence, distress respiratory, unresponsiveness, bruit, wheezing"
dementia,"hallucinations auditory, hyperemesis, guaiac positive, pain, hunger, abdominal tenderness, unsteady gait"
peripheral   vascular disease,"spasm, breath-holding spell, anorexia, sleepy, dyspnea, passed stones, moan, sore to touch, tachypnea"
anxiety   state,"hot flush, incoherent, pain, hallucinations auditory, history of - blackout, mood depressed, feeling hopeless, no known drug allergies"
fibroid   tumor,"proteinemia, gurgle, heartburn, decreased translucency, hyponatremia"
carcinoma of lung,"st segment depression, unconscious state, agitation, monoclonal, asthenia, formication, decreased translucency, irritable mood, tonic seizures, ache"
hemiparesis,"sleepy, verbally abusive behavior, facial paresis, splenomegaly, hepatosplenomegaly, hirsutism, orthostasis"
chronic   kidney failure,"shooting pain, fever, unresponsiveness, night sweat, pleuritic pain, bradykinesia"
ileus,"giddy mood, thicken, vision blurred, shooting pain, pain abdominal, apyrexial, gravida 0"
hyperbilirubinemia,"angina pectoris, sore to touch, cough, stool color yellow, yellow sputum, cushingoid habitus, cyanosis, hallucinations auditory"
chronic   alcoholic intoxication,"panic, sleeplessness, shortness of breath, sinus rhythm, cough, behavior showing increased motor activity"
hiv infections,"welt, productive cough, fatigability, bleeding of vagina, hypotonic, photopsia, feeling suicidal"
emphysema   pulmonary,"sleepy, arthralgia, dyspnea, estrogen use, asthenia"
emphysema   pulmonary,"bleeding of vagina, macerated skin, constipation, dyspnea, arthralgia"
personality   disorder,"worry, panic, homelessness, side pain, pruritus, atypia"
accident   cerebrovascular,"asthenia, gravida 10, abortion, unresponsiveness, enuresis, seizure"
transient   ischemic attack,"asterixis, difficulty, extrapyramidal sign, regurgitates after swallowing, history of - blackout, left atrial hypertrophy, urinoma, headache"
pyelonephritis,"low back pain, mood depressed, pain abdominal, st segment elevation, chill, st segment depression"
osteoporosis,"out of breath, weight gain, weepiness, mass of body structure, apyrexial, syncope, tachypnea, noisy respiration, lightheadedness"
sickle   cell anemia,"impaired cognition, hepatosplenomegaly, non-productive cough, apyrexial, fecaluria, Heberden's node, green sputum"
tricuspid   valve insufficiency,"mediastinal shift, cicatrisation, impaired cognition, angina pectoris, fall, rale, mental status changes, aura"
carcinoma colon,"has religious belief, egophony, systolic ejection murmur, sinus rhythm, polydypsia, verbal auditory hallucinations"
glaucoma,"prodrome, dyspareunia, monocytosis, neck stiffness, burning sensation, hyponatremia, lesion, mass of body structure, frothy sputum"
failure   heart congestive,"cough, heme positive, lethargy, hirsutism, orthopnea, wheezing, mental status changes, r wave feature"
thrombus,"bowel sounds decreased, bradykinesia, pustule, apyrexial, vomiting"
chronic   kidney failure,"vision blurred, unconscious state, palpitation, nausea, fever, unresponsiveness, pleuritic pain, hoard"
obesity,"hypoproteinemia, dullness, systolic murmur, myalgia, ecchymosis, overweight, dysuria, mood depressed, st segment depression"
peripheral   vascular disease,"sleepy, sore to touch, anorexia, headache, drool"
arthritis,"pain, general unsteadiness, moan, shortness of breath, debilitation"
obesity,"hyponatremia, systolic murmur, overweight, mood depressed, ecchymosis, underweight"
hepatitis   C,"labored breathing, hypercapnia, hepatomegaly, asterixis, paresis, hallucinations auditory, hyperemesis, cyanosis, patient non compliance"
cardiomyopathy,"dyspnea on exertion, neologism, excruciating pain, weight gain, food intolerance, patient non compliance"
sepsis (invertebrate),"apyrexial, mydriasis, spontaneous rupture of membranes, tremor, hypersomnolence, rale, haemorrhage"
edema   pulmonary,"sneeze, hyponatremia, blackout, wheezing, breech presentation, pain chest"
adhesion,"posturing, unsteady gait, immobile, chest tightness, hallucinations visual, feeling suicidal, verbal auditory hallucinations"
schizophrenia,"worry, homelessness, hypesthesia, hypoalbuminemia, underweight, hallucinations visual"
hernia   hiatal,"numbness of hand, photophobia, hemodynamically stable, guaiac positive, panic"
personality   disorder,"worry, homelessness, hoarseness, no status change, pruritus, enuresis, giddy mood"
incontinence,"tinnitus, abscess bacterial, syncope, slowing of urinary stream, unhappy, stiffness, unresponsiveness"
overload   fluid,"swelling, pustule, hypokalemia, hypotension, floppy, spontaneous rupture of membranes, distended abdomen, absences finding"
peripheral   vascular disease,"sciatica, anorexia, sleepy, sore to touch, rhd positive, flare"
infection   urinary tract,"polyuria, consciousness clear, mental status changes, bowel sounds decreased, difficulty passing urine, formication, distress respiratory"
hiv infections,"stiffness, productive cough, feeling suicidal, decreased body weight, hypotonic, stinging sensation, rest pain"
hepatitis,"vomiting, syncope, scleral icterus, fever, distress respiratory, cardiovascular event"
diverticulosis,"cystic lesion, feeling hopeless, nausea, metastatic lesion, unconscious state, pain back, poor dentition"
sickle   cell anemia,"pericardial friction rub, distended abdomen, hepatosplenomegaly, headache, apyrexial, lesion, primigravida, green sputum"
osteomyelitis,"erythema, natural, abscess bacterial, mydriasis, pain foot, urinary hesitation, hepatosplenomegaly"
melanoma,"vomiting, pain, mass in breast, diarrhea, unhappy, catching breath"
osteomyelitis,"neologism, focal seizures, abscess bacterial, breath-holding spell, erythema"
influenza,"heme positive, extreme exhaustion, sneeze, paresthesia, orthostasis, hyponatremia, distress respiratory"
accident   cerebrovascular,"rest pain, abdominal bloating, unresponsiveness, seizure, numbness"
obesity   morbid,"hematocrit decreased, aura, renal angle tenderness, transsexual, tremor resting"
anemia,"patient non compliance, transaminitis, pericardial friction rub, swelling, shortness of breath, numbness, photopsia"
diverticulitis,"fever, productive cough, urgency of micturition, hoarseness, monoclonal, heavy feeling, thicken"
neuropathy,"slowing of urinary stream, pulsus paradoxus, asthenia, tenesmus, drool, sneeze"
infection,"cough, hyponatremia, pain, seizure, hypersomnolence"
Pneumocystis   carinii pneumonia,"urge incontinence, transaminitis, headache, absences finding, non-productive cough"
diabetes,"nonsmoker, vomiting, hypokalemia, vertigo, labored breathing, stinging sensation, angina pectoris"
pancytopenia,"hemiplegia, colic abdominal, spontaneous rupture of membranes, stool color yellow, fatigue, arthralgia, hypoproteinemia"
deglutition   disorder,"stiffness, soft tissue swelling, side pain, primigravida, neck stiffness, lesion, decreased body weight"
delirium,"uncoordination, lip smacking, tremor, pulsus paradoxus, hallucinations auditory, emphysematous change, diarrhea"
diverticulosis,"feeling hopeless, cystic lesion, anorexia, milky, rapid shallow breathing, exhaustion"
lymphatic   diseases,"history of - blackout, hemianopsia homonymous, fremitus, egophony, non-productive cough, drowsiness"
cholecystitis,"abnormally hard consistency, para 2, lightheadedness, red blotches, constipation, groggy, feces in rectum"
hypothyroidism,"mental status changes, bowel sounds decreased, numbness, tired, unsteady gait"
epilepsy,"sleepy, rale, unconscious state, behavior hyperactive, bedridden, wheelchair bound"
pyelonephritis,"pain abdominal, chill, dizzy spells, moody, ache, fever, hot flush"
encephalopathy,"thicken, hypokinesia, abnormal sensation, fecaluria, debilitation, unresponsiveness"
anemia,"qt interval prolonged, cough, history of - blackout, pain in lower limb, achalasia"
schizophrenia,"nausea, unresponsiveness, nervousness, homelessness, hallucinations visual, worry, underweight"
psychotic   disorder,"hematocrit decreased, energy increased, nightmare, terrify, cushingoid habitus, urinary hesitation"
biliary   calculus,"awakening early, abnormally hard consistency, posturing, diarrhea, sore to touch"
parkinson   disease,"hematuria, mass of body structure, verbally abusive behavior, myalgia, asthenia, hot flush, terrify, night sweat, drool"
dehydration,"dizziness, sensory discomfort, bleeding of vagina, hydropneumothorax, lethargy, history of - blackout"
gastroenteritis,"frail, alcoholic withdrawal symptoms, side pain, spasm, decreased body weight, hyponatremia, vertigo, pain back, retch"
hypertension   pulmonary,"apyrexial, nonsmoker, neck stiffness, swelling, pleuritic pain"
infection   urinary tract,"low back pain, incoherent, breath-holding spell, shooting pain, difficulty passing urine, consciousness clear, mental status changes, regurgitates after swallowing, night sweat"
anemia,"consciousness clear, pin-point pupils, pneumatouria, fatigue, feeling hopeless, guaiac positive, transaminitis, swelling"
